city,date,temp,o3,dewpoint,pm10,season,yday,month,month_numeric,year
chic,1997-01-01,36,5.659256204,37.5,13.05226827,Winter,1,Jan,1,1997
chic,1997-01-02,45,5.525416704,47.25,41.94860022,Winter,2,Jan,1,1997
chic,1997-01-03,40,6.288547904,38,27.04175091,Winter,3,Jan,1,1997
chic,1997-01-04,51.5,7.537758024,45.5,25.07257296,Winter,4,Jan,1,1997
chic,1997-01-05,27,20.76079764,11.25,15.34312077,Winter,5,Jan,1,1997
chic,1997-01-06,17,14.94087424,5.75,9.36465498,Winter,6,Jan,1,1997
chic,1997-01-07,16,11.92098546,7,20.22842783,Winter,7,Jan,1,1997
chic,1997-01-08,19,8.678477254,17.75,33.13481929,Winter,8,Jan,1,1997
chic,1997-01-09,26,13.35589185,24,12.11838093,Winter,9,Jan,1,1997
chic,1997-01-10,16,10.44826392,5.375,24.76153415,Winter,10,Jan,1,1997
chic,1997-01-11,1.5,15.86609374,-6.625,18.12615098,Winter,11,Jan,1,1997
chic,1997-01-12,1,15.11528954,-8.875,16.01376956,Winter,12,Jan,1,1997
chic,1997-01-13,3,9.381068454,1.5,34.99107867,Winter,13,Jan,1,1997
chic,1997-01-14,10,8.029507614,11.5,64.94540283,Winter,14,Jan,1,1997
chic,1997-01-15,19,7.066110664,23.25,26.94195522,Winter,15,Jan,1,1997
chic,1997-01-16,9.5,20.11302317,-9.75,27.02290581,Winter,16,Jan,1,1997
chic,1997-01-17,-3,15.36389807,-10.375,18.837025,Winter,17,Jan,1,1997
chic,1997-01-18,0,12.71322334,-4.125,31.85973969,Winter,18,Jan,1,1997
chic,1997-01-19,14,9.616132624,22.625,30.92316755,Winter,19,Jan,1,1997
chic,1997-01-20,31,16.84036922,27.25,19.89456552,Winter,20,Jan,1,1997
chic,1997-01-21,35,12.75867647,41.625,27.88201718,Winter,21,Jan,1,1997
chic,1997-01-22,36.5,21.02421345,20.75,18.50876229,Winter,22,Jan,1,1997
chic,1997-01-23,26,18.66507227,18.75,11.84569754,Winter,23,Jan,1,1997
chic,1997-01-24,32,7.131937874,29.5,26.68734618,Winter,24,Jan,1,1997
chic,1997-01-25,14.5,17.16786113,-1.375,16.61282475,Winter,25,Jan,1,1997
chic,1997-01-26,11,9.960118444,17.125,21.64145522,Winter,26,Jan,1,1997
chic,1997-01-27,17,9.167350094,8.375,22.67249763,Winter,27,Jan,1,1997
chic,1997-01-28,2,13.61396724,-6.375,28.10117958,Winter,28,Jan,1,1997
chic,1997-01-29,8,7.945009134,11,51.77660722,Winter,29,Jan,1,1997
chic,1997-01-30,16.5,7.660618854,16.375,48.74146151,Winter,30,Jan,1,1997
chic,1997-01-31,31.5,11.88260771,33.75,24.68632857,Winter,31,Jan,1,1997
chic,1997-02-01,35,16.67618192,29.66666667,23.78494307,Winter,32,Feb,2,1997
chic,1997-02-02,36.5,12.03236807,29.625,27.76214986,Winter,33,Feb,2,1997
chic,1997-02-03,30,21.84955884,28,21.60092806,Winter,34,Feb,2,1997
chic,1997-02-04,34.5,10.88754905,32,17.05089956,Winter,35,Feb,2,1997
chic,1997-02-05,30,14.89403055,24.25,10.15774888,Winter,36,Feb,2,1997
chic,1997-02-06,26,15.95782395,21.875,15.94308573,Winter,37,Feb,2,1997
chic,1997-02-07,25.5,14.39124306,23.375,33.01070351,Winter,38,Feb,2,1997
chic,1997-02-08,25.5,19.74964468,22.5,14.95590898,Winter,39,Feb,2,1997
chic,1997-02-09,26,12.39763533,21,30.41044863,Winter,40,Feb,2,1997
chic,1997-02-10,27,14.19356203,21.75,23.9148131,Winter,41,Feb,2,1997
chic,1997-02-11,23.5,20.492388,19.5,22.97234734,Winter,42,Feb,2,1997
chic,1997-02-12,21,23.09199333,11.6,12.71233618,Winter,43,Feb,2,1997
chic,1997-02-13,20.5,20.17100535,16.375,22.71983618,Winter,44,Feb,2,1997
chic,1997-02-14,25.5,15.45323965,23,35.67600056,Winter,45,Feb,2,1997
chic,1997-02-15,20,19.52666144,15.25,28.37307563,Winter,46,Feb,2,1997
chic,1997-02-16,18.5,20.01923367,8.125,15.66242989,Winter,47,Feb,2,1997
chic,1997-02-17,30,17.29756199,32.625,38.74484747,Winter,48,Feb,2,1997
chic,1997-02-18,48.5,27.01327545,41.375,27.59716612,Winter,49,Feb,2,1997
chic,1997-02-19,37.5,19.05543624,27.5,17.61221142,Winter,50,Feb,2,1997
chic,1997-02-20,35.5,6.890251524,44.125,29.76880483,Winter,51,Feb,2,1997
chic,1997-02-21,36,16.31360999,29.625,7.340320898,Winter,52,Feb,2,1997
chic,1997-02-22,26,23.01585331,24.25,7.856716918,Winter,53,Feb,2,1997
chic,1997-02-23,28,24.99031832,14.625,7.908914718,Winter,54,Feb,2,1997
chic,1997-02-24,21.5,18.93931778,10.875,17.83435014,Winter,55,Feb,2,1997
chic,1997-02-25,25.5,12.52624267,27.125,41.12401186,Winter,56,Feb,2,1997
chic,1997-02-26,36.5,7.962752864,35,34.05258329,Winter,57,Feb,2,1997
chic,1997-02-27,34.5,13.19415263,30.25,19.74934995,Winter,58,Feb,2,1997
chic,1997-02-28,37.5,15.17861423,36,26.12675911,Winter,59,Feb,2,1997
chic,1997-03-01,45.5,13.86071666,44,28.12950637,Winter,60,Mar,3,1997
chic,1997-03-02,35,30.99234906,27.375,9.940940378,Winter,61,Mar,3,1997
chic,1997-03-03,33.5,29.26085194,29.375,15.98096999,Winter,62,Mar,3,1997
chic,1997-03-04,38,15.41387477,28.875,26.03316779,Winter,63,Mar,3,1997
chic,1997-03-05,33,17.79051647,28.625,31.42414209,Winter,64,Mar,3,1997
chic,1997-03-06,26.5,25.03466454,13.375,26.50844252,Winter,65,Mar,3,1997
chic,1997-03-07,35.5,18.00431447,35.25,30.58811285,Winter,66,Mar,3,1997
chic,1997-03-08,39,30.11222704,28.25,16.23496274,Winter,67,Mar,3,1997
chic,1997-03-09,37,15.17862197,32.625,21.20923471,Winter,68,Mar,3,1997
chic,1997-03-10,44,20.22995016,33.25,26.32461932,Winter,69,Mar,3,1997
chic,1997-03-11,37,29.97592522,23.375,20.13270298,Winter,70,Mar,3,1997
chic,1997-03-12,33.5,30.81373449,25,20.43450943,Winter,71,Mar,3,1997
chic,1997-03-13,37.5,28.38702037,30.5,22.48395998,Winter,72,Mar,3,1997
chic,1997-03-14,26.5,24.61562249,15.5,18.57903562,Winter,73,Mar,3,1997
chic,1997-03-15,19,30.73847129,8.375,8.03033619,Winter,74,Mar,3,1997
chic,1997-03-16,24.5,26.62160968,23.75,16.93418234,Winter,75,Mar,3,1997
chic,1997-03-17,45,22.21636296,33.625,31.8663052,Winter,76,Mar,3,1997
chic,1997-03-18,33.5,40.20470785,27,18.60451201,Winter,77,Mar,3,1997
chic,1997-03-19,35.5,28.49454298,28.875,23.5880285,Winter,78,Mar,3,1997
chic,1997-03-20,46,24.94827561,31.875,31.50980485,Winter,79,Mar,3,1997
chic,1997-03-21,53.5,17.99599573,42.5,58.49676383,Winter,80,Mar,3,1997
chic,1997-03-22,37.5,27.96154844,28.625,18.60940119,Winter,81,Mar,3,1997
chic,1997-03-23,32.5,24.76784887,20.375,15.13375942,Winter,82,Mar,3,1997
chic,1997-03-24,33,18.61572676,32.375,26.64236823,Winter,83,Mar,3,1997
chic,1997-03-25,40.5,14.80005212,30,22.71654405,Winter,84,Mar,3,1997
chic,1997-03-26,44,20.56261571,36.75,21.77022546,Winter,85,Mar,3,1997
chic,1997-03-27,60.5,24.37719067,40.125,46.7639458,Winter,86,Mar,3,1997
chic,1997-03-28,55.5,10.87255405,53.875,46.79966009,Winter,87,Mar,3,1997
chic,1997-03-29,43.5,14.85052893,41,22.01639466,Winter,88,Mar,3,1997
chic,1997-03-30,37.5,23.4912074,33.75,8.76669305,Winter,89,Mar,3,1997
chic,1997-03-31,38.5,25.24378878,22,19.66229745,Winter,90,Mar,3,1997
chic,1997-04-01,44.5,14.05863838,28.125,59.72323797,Spring,91,Apr,4,1997
chic,1997-04-02,53,11.67148601,29.875,61.74029149,Spring,92,Apr,4,1997
chic,1997-04-03,59.5,10.74764575,49.875,42.61941237,Spring,93,Apr,4,1997
chic,1997-04-04,62.5,28.97011933,48.25,50.95457935,Spring,94,Apr,4,1997
chic,1997-04-05,60.5,26.12551739,54.375,18.4023794,Spring,95,Apr,4,1997
chic,1997-04-06,45,26.7899782,21.75,30.38314863,Spring,96,Apr,4,1997
chic,1997-04-07,34,25.26395543,18.375,20.16241948,Spring,97,Apr,4,1997
chic,1997-04-08,28.5,20.04180523,9.25,12.21309834,Spring,98,Apr,4,1997
chic,1997-04-09,30,20.74389095,18.875,13.04276867,Spring,99,Apr,4,1997
chic,1997-04-10,30.5,20.50140804,22,25.16890125,Spring,100,Apr,4,1997
chic,1997-04-11,33.5,23.50232563,32,19.92188955,Spring,101,Apr,4,1997
chic,1997-04-12,33.5,20.76591495,30.375,12.02903241,Spring,102,Apr,4,1997
chic,1997-04-13,38.5,26.70238568,24.625,10.22229064,Spring,103,Apr,4,1997
chic,1997-04-14,41.5,16.60310949,28.125,50.13272956,Spring,104,Apr,4,1997
chic,1997-04-15,49,26.20475965,36.25,74.14921308,Spring,105,Apr,4,1997
chic,1997-04-16,43,20.30031871,25.625,24.42976372,Spring,106,Apr,4,1997
chic,1997-04-17,40.5,17.01137552,25.75,12.26734494,Spring,107,Apr,4,1997
chic,1997-04-18,40,11.74001894,34.75,39.2700922,Spring,108,Apr,4,1997
chic,1997-04-19,45.5,22.37599898,30.875,32.28045661,Spring,109,Apr,4,1997
chic,1997-04-20,49,22.08988359,42.25,30.36037903,Spring,110,Apr,4,1997
chic,1997-04-21,45,32.80754296,31,16.40982958,Spring,111,Apr,4,1997
chic,1997-04-22,43,28.00670944,33.625,14.83384899,Spring,112,Apr,4,1997
chic,1997-04-23,48.5,25.38695006,34,5.566422982,Spring,113,Apr,4,1997
chic,1997-04-24,47.5,21.56716872,36.5,7.478510892,Spring,114,Apr,4,1997
chic,1997-04-25,48,23.19473452,27.75,22.48867942,Spring,115,Apr,4,1997
chic,1997-04-26,49.5,21.30419855,24.25,35.48833582,Spring,116,Apr,4,1997
chic,1997-04-27,47.5,27.47591902,40.25,23.56800615,Spring,117,Apr,4,1997
chic,1997-04-28,50.5,18.50701151,40.75,61.23384248,Spring,118,Apr,4,1997
chic,1997-04-29,60,33.2854148,45.25,91.57350065,Spring,119,Apr,4,1997
chic,1997-04-30,55,22.81656658,50,47.56251164,Spring,120,Apr,4,1997
chic,1997-05-01,48.5,18.89285702,36.875,15.56162372,Spring,121,May,5,1997
chic,1997-05-02,48.5,8.900922509,45.5,31.59235891,Spring,122,May,5,1997
chic,1997-05-03,49,20.43545892,40.375,11.61708419,Spring,123,May,5,1997
chic,1997-05-04,51.5,28.13336358,33.25,19.24785854,Spring,124,May,5,1997
chic,1997-05-05,62,28.53284903,38.875,77.69126001,Spring,125,May,5,1997
chic,1997-05-06,55.5,21.80871968,35,24.78191935,Spring,126,May,5,1997
chic,1997-05-07,52.5,19.11842857,49.25,37.67473475,Spring,127,May,5,1997
chic,1997-05-08,61,27.42395907,42.75,26.67673217,Spring,128,May,5,1997
chic,1997-05-09,50.5,20.023251,36,12.68772118,Spring,129,May,5,1997
chic,1997-05-10,52.5,20.49802109,32.625,27.26056369,Spring,130,May,5,1997
chic,1997-05-11,59.5,25.81095989,43.875,26.69046843,Spring,131,May,5,1997
chic,1997-05-12,52.5,24.83249769,32.5,29.66574316,Spring,132,May,5,1997
chic,1997-05-13,45.5,16.76821907,38.75,22.80688708,Spring,133,May,5,1997
chic,1997-05-14,49.5,10.96171517,40.625,32.77959117,Spring,134,May,5,1997
chic,1997-05-15,45,12.31652263,35.5,7.752118646,Spring,135,May,5,1997
chic,1997-05-16,51,20.18138636,41.375,35.03828883,Spring,136,May,5,1997
chic,1997-05-17,50.5,27.88489814,38.25,19.84552524,Spring,137,May,5,1997
chic,1997-05-18,59.5,23.01753568,63.875,33.90871205,Spring,138,May,5,1997
chic,1997-05-19,54,17.89384996,42.375,20.94567071,Spring,139,May,5,1997
chic,1997-05-20,51.5,16.30150301,38.125,25.94884988,Spring,140,May,5,1997
chic,1997-05-21,48,18.67138209,34.375,10.89939933,Spring,141,May,5,1997
chic,1997-05-22,50.5,18.6941004,34.625,29.99117744,Spring,142,May,5,1997
chic,1997-05-23,58,23.62915606,40.75,35.80324548,Spring,143,May,5,1997
chic,1997-05-24,68.5,38.76134299,56.125,61.78401471,Spring,144,May,5,1997
chic,1997-05-25,50,35.7988368,44.5,21.84118037,Spring,145,May,5,1997
chic,1997-05-26,50,30.91117846,35.875,4.851112866,Spring,146,May,5,1997
chic,1997-05-27,56,28.03759129,39.375,25.73572826,Spring,147,May,5,1997
chic,1997-05-28,58.5,18.69626344,56.875,30.25673707,Spring,148,May,5,1997
chic,1997-05-29,58,15.66312397,50.75,21.70550847,Spring,149,May,5,1997
chic,1997-05-30,61,26.72116821,51.75,25.70825573,Spring,150,May,5,1997
chic,1997-05-31,59,35.43555014,53.375,20.62926298,Spring,151,May,5,1997
chic,1997-06-01,60.5,42.33315422,51.25,15.52251351,Spring,152,Jun,6,1997
